title;descr;price;year;km;transmission;location;date_posted;link;date_imported;Tipo;Marca;Modelo;Comuna;Region;Pais
Fiat strada;Esta en perfecto estado mecanico, algunos detalles menores de uso,se vende por renovacion;6000000.0;2014;158500.0;Manual  ;Las Condes,  Región Metropolitana; 07 ago 2023 a las 20:16;https://www.yapo.cl/vehiculos/fiat-strada_87797169;04-10-2023 4:20;Hatchback;FIAT;STRADA;Las Condes; Región Metropolitana;ITALIA
Fiat punto evo sport 2012;"Excelente Punto Evo Sport con LOOK Abarth, Motor 1.4 de 4 Cyl. color Blanco Metálico. Caja mecánica de 6 velocidades. 

Kilometraje original, usado generalmente siempre como segundo Vehiculo. Muy bien cuidado y excelente estado mecánico y de carrocería.

Equipamiento Full:
-Dirección modalidad City y Sport
-Vidrios y espejos eléctricos
-Transmisión Manual de 6 velocidades
-Start Stop
-Sistema ESP (bloqueo hacia atrás en pendiente)
-Llantas perfil bajo 17""
-Focos y Neblineros LED

Precio Conversable.";6490000.0;2012;95000.0;Manual  ;Puerto Montt,  X Los Lagos; 07 ago 2023 a las 18:16;https://www.yapo.cl/vehiculos/fiat-punto-evo-sport-2012_87858819;04-10-2023 4:20;Hatchback;FIAT;PUNTO EVO;Puerto Montt; X Los Lagos;ITALIA
Camioneta Fiat strada 1.4 2010;Camioneta Fiat strada 1.4 con todos sus papeles al día tenía partes de Tac fueron todos canselados;4390000.0;2010;190.0;Manual  ;San Antonio,  V Valparaíso; 07 ago 2023 a las 14:48;https://www.yapo.cl/vehiculos/camioneta-fiat-strada-14-2010_87856830;04-10-2023 4:20;Hatchback;FIAT;STRADA;San Antonio; V Valparaíso;ITALIA
Fiat uno way 2018;Por apuro medico urgente;5500000.0;2018;88000.0;Manual  ;San Ramón,  Región Metropolitana; 07 ago 2023 a las 14:32;https://www.yapo.cl/vehiculos/fiat-uno-way-2018_87793056;04-10-2023 4:20;Hatchback;FIAT;UNO WAY;San Ramón; Región Metropolitana;ITALIA
Fiat adventur;Fiat adventur;6800000.0;2018;106000.0;Manual  ;La Florida,  Región Metropolitana; 07 ago 2023 a las 08:48;https://www.yapo.cl/vehiculos/fiat-adventur_87853268;04-10-2023 4:20;Hatchback;FIAT;ADVENTUR;La Florida; Región Metropolitana;ITALIA
Fiat Bravo 1.4T 2015;"Fiat Bravo 1.4T 

Alza vidrio one touch en todas sus puertas, A/c con climatizador bi zona, velocidad crucero, asistencia en pendientes, freno disco en las 4 ruedas, frenos ABS. Auto muy ágil. Solo detalles estéticos señalados en las últimas fotos";6500000.0;2015;119000.0;Manual  ;La Serena,  IV Coquimbo; 06 ago 2023 a las 17:20;https://www.yapo.cl/vehiculos/fiat-bravo-14t-2015_87849832;04-10-2023 4:20;Hatchback;FIAT;BRAVO T;La Serena; IV Coquimbo;ITALIA
Fiat bravo 2015;"BUEN ESTADO, DOCUMENTOS AL DIA, VELOCIDAD CRUCERO, TURBO.

¡¡CONVERSABLE!!";6000000.0;2015;99000.0;Manual  ;La Florida,  Región Metropolitana; 06 ago 2023 a las 16:48;https://www.yapo.cl/vehiculos/fiat-bravo-2015_87763511;04-10-2023 4:20;Hatchback;FIAT;BRAVO;La Florida; Región Metropolitana;ITALIA
Vehiculo Fiat Uno Wey año 2018;Full equipo, papeles al día,en buen estado con alarma, parrilla, cierre centralizado y alzavidrios. ;6000000.0;2018;91.0;Manual  ;San Bernardo,  Región Metropolitana; 05 ago 2023 a las 10:12;https://www.yapo.cl/vehiculos/vehiculo-fiat-uno-wey-ano-2018_87841071;04-10-2023 4:20;Hatchback;FIAT;UNO WEY;San Bernardo; Región Metropolitana;ITALIA
Fiat punto;"Vendo Fiat punto 1.4 en perfecto estado, color negro brillante, papeles día, sin partes ni multas llegar y transferir.
Lo vendo por motivo de viaje.
Valor 4.300.000 poco conversable.
Más información al WhatsApp";4300000.0;2013;120000.0;Manual  ;Peñalolén,  Región Metropolitana; 04 ago 2023 a las 18:45;https://www.yapo.cl/vehiculos/fiat-punto_87838190;04-10-2023 4:20;Hatchback;FIAT;PUNTO;Peñalolén; Región Metropolitana;ITALIA
Fiat doblo cargo 1.6 multijet xl 2018;Camioneta tipo vans en excelente estado, muy bien cuidado con poca carga, mantencion al dia y recien hecha, camara de retroceso con pantalla recien instalada, sin detalles, un solo dueño.;10948000.0;2018;112600.0;Manual  ;Independencia,  Región Metropolitana; 04 ago 2023 a las 15:46;https://www.yapo.cl/vehiculos/fiat-doblo-cargo-16-multijet-xl-2018_87836658;04-10-2023 4:20;Hatchback;FIAT;DOBLO CARGO MULTIJET XL;Independencia; Región Metropolitana;ITALIA
Fiat Fiorino City 2014 Diesel A/C;"Impecable, Muy Economica, Diesel 
Oportunidad 
Ver en La Reína 
+56922187221";4780000.0;2014;100000.0;Manual  ;La Reina,  Región Metropolitana; 04 ago 2023 a las 12:33;https://www.yapo.cl/vehiculos/fiat-fiorino-city-2014-diesel-ac_87834952;04-10-2023 4:20;Hatchback;FIAT;FIORINO CITY;La Reina; Región Metropolitana;ITALIA
Fiat grande punto;"Vendo Fiat grande punto 2013 

 sin partes ni multas , todo al día. 
 revisión tecnica hasta febrero 2024 
 Dirección electro - hidráulica 
 motor 1.4 bencinero ( económico )
 alzavidrios eléctricos delanteros 
 aire acondicionado 
 Espejos eléctricos 
 Cierre centralizado 
 neblineros 
 polarizado al 20% 
 llantas desplazada de 8 ""( neumáticos nuevos ) 
 Control de estabilidad 
 sistema Star/top 
 radio con pantalla con carplay 
 cámara retroceso 
 mandos al volantes 
 mantenciones al día 
 doble airbag delanteros 
 Volante regulable ( altura y profundidad )
 150.xxx kilómetros 

Vehículo transferible, sin fugas de nada, maletero espacioso, lo vendo por renovación solamente. 
 Valor $ 5.400.000 ( conversable )";5500000.0;2013;150000.0;Manual  ;Valparaíso,  V Valparaíso; 03 ago 2023 a las 20:57;https://www.yapo.cl/vehiculos/fiat-grande-punto_87830719;04-10-2023 4:20;Hatchback;FIAT;GRANDE PUNTO;Valparaíso; V Valparaíso;ITALIA
Fiat Uno Way 1.4 2017;"Vendo Fiat Uno Way 1.4 MT de Agencia
Única Dueña
Vehículo consta de Aire Acondicionado, Alza vidrio eléctrico delanteros, Airbag, etc.
Muy económico. 
Papeles al día. 
Se vende por renovación. 

Precio 6.500.000 CONVERSABLE!";6500000.0;2017;67000.0;Manual  ;Punta Arenas,  XII Magallanes & Antártica; 03 ago 2023 a las 19:13;https://www.yapo.cl/vehiculos/fiat-uno-way-14-2017_87830059;04-10-2023 4:20;Hatchback;FIAT;UNO WAY;Punta Arenas; XII Magallanes & Antártica;ITALIA
Fiat city 1.2 Diesel;Toda la documentación al día asta el 2024 llegar y trabajar sin multas kit embrague recién echo , neumáticos al 95% detalles estéticos en las fotos, alza vidrios eléctricos, cierre centralizado y aire acondicionado lo que nunca se a cambiado es la batería precio conversable con gente seria ;4950000.0;2015;191000.0;Manual  ;San Bernardo,  Región Metropolitana; 03 ago 2023 a las 17:59;https://www.yapo.cl/vehiculos/fiat-city-12-diesel_87829297;04-10-2023 4:20;Hatchback;FIAT;CITY 1.2;San Bernardo; Región Metropolitana;ITALIA
Fiat Tipo 2019;"Fiat Tipo 1.6 Easy 2019
Vehículo de remate (Compañia de seguros)
53.500 km
Automatico 6 vel
6 airbags
Camara de retroceso y sensores
Climatizador automático 
Sensor de lluvia
Bluetooth 
Crucero
Al día, transferible, sin multas
|Mas info del siniestro, última foto| 

Precio: $7.190.000
Ubicación: Rancagua

Preguntas frecuentes:
¿Aparece el siniestro en los papeles?
No figura en ningún papel del auto, solo aparece en Autofact 

Buscanos como Chocados OHiggins";7190000.0;2019;53500.0;Automático  ;Rancagua,  VI O'Higgins; 03 ago 2023 a las 14:51;https://www.yapo.cl/vehiculos/fiat-tipo-2019_87827374;04-10-2023 4:20;Hatchback;FIAT;TIPO;Rancagua; VI O'Higgins;ITALIA
Fiat city 2015 diesel;"Vendo fiat city 1.3 año 2015 
Km 200.000 en 3.000.000 andando de uso diario en el trabajo jamás me dejó tirada 
Buena y económica 
Precio no conversable 
El precio es xq hay q reparar el tren delantero, cambiar pastilla y reparar el aire acondicionado 
Se hizo cambio de kit de embriaguez
Neumáticos cambiado hace 1 años 
La venta es por renovación 
Lo demás todo ok papeles al día 
Cualquier consulta";3000000.0;2015;200000.0;Manual  ;Colina,  Región Metropolitana; 03 ago 2023 a las 12:08;https://www.yapo.cl/vehiculos/fiat-city-2015-diesel_87806903;04-10-2023 4:20;Hatchback;FIAT;CITY;Colina; Región Metropolitana;ITALIA
Fiat uno way 2018;Impecable estado, 2 llaves, documentación al día hasta el 2024, radio con conexión bluetooth, alzavidrios eléctricos cocher y acompañante y aire acondicionado.;6100000.0;2018;58063.0;Manual  ;La Florida,  Región Metropolitana; 02 ago 2023 a las 17:27;https://www.yapo.cl/vehiculos/fiat-uno-way-2018_87817325;04-10-2023 4:21;Hatchback;FIAT;UNO WAY;La Florida; Región Metropolitana;ITALIA
Fiat strada 2017;"FIAT ESTRADA 2017,
196620 KM, 1.4, 
TRANSMICION MANUAL
GASOLINA 
AIRE ACONDICIONADO,
CIERRE CENTRALIZADO
ALZA VIDRIO ELECTRICO,
2° DUEÑA
LONA MARITIMA
DOCUMENTOS AL DIA.
LOCALIDAD DE SAN FERNANDO.
CUALQUIER CONSULTA NO DUDE EN CONTACTAR";8200000.0;2017;196000.0;Manual  ;San Fernando,  VI O'Higgins; 02 ago 2023 a las 16:58;https://www.yapo.cl/vehiculos/fiat-strada-2017_87816797;04-10-2023 4:21;Hatchback;FIAT;STRADA;San Fernando; VI O'Higgins;ITALIA
Fiat doblo 2018;Se Vende en excelentes condiciones funcionando al 100%, para mayor información comunicarse ;7850000.0;2018;141005.0;Manual  ;San Miguel,  Región Metropolitana; 02 ago 2023 a las 16:19;https://www.yapo.cl/vehiculos/fiat-doblo-2018_87816093;04-10-2023 4:21;Hatchback;FIAT;DOBLO;San Miguel; Región Metropolitana;ITALIA
Fiat Strada working doble cabina 2013;Fiat Strada working doble cabina al día transferible alarma cierre centralizado;5090000.0;2013;127000.0;Manual  ;Buin,  Región Metropolitana; 02 ago 2023 a las 14:38;https://www.yapo.cl/vehiculos/fiat-strada-working-doble-cabina-2013_87814003;04-10-2023 4:21;Hatchback;FIAT;STRADA WORKING DOBLE CABINA;Buin; Región Metropolitana;ITALIA
Fiat fullback 2017 unico dueño;"NEBLINEROS, AIRE ACONDICIONADO,JAMAS CHOCADA, MANTENCIONES AL DÍA, MUY BIEN CUIDADA, PISADERAS, FUNDAS ASIENTOS, BATERÍA Y NEUMÁTICOS NUEVOS, LONA CUBRE PICK UP, ENGANCHE AMERICANO, SENSOR RETROCESO.
DOCUMENTOS AL DÍA
 C O N V E R S A B L E";17040000.0;2017;134000.0;Automático  ;Las Condes,  Región Metropolitana; 02 ago 2023 a las 12:09;https://www.yapo.cl/vehiculos/fiat-fullback-2017-unico-dueno_87811484;04-10-2023 4:21;Hatchback;FIAT;BACK;Las Condes; Región Metropolitana;ITALIA
Fiat grande punto 2013;"Vendo o permuto por auto similar
Fiat grande punto 1.4 2013, Full A/C, polarizado certificado, Gps, Dirección asistida, láminas de seguridad y más, cuenta con 182.xxx Km.
Pocos detalles, solo lo estético que se ve. 
Escucho Ofertas serias";4300000.0;2013;177000.0;Manual  ;Maipú,  Región Metropolitana; 02 ago 2023 a las 09:57;https://www.yapo.cl/vehiculos/fiat-grande-punto-2013_87809422;04-10-2023 4:21;Hatchback;FIAT;GRANDE PUNTO;Maipú; Región Metropolitana;ITALIA
Fiat linea 2016;Con todos los papeles al día, vehículo muy económico motor 1.4;6300000.0;2016;97400.0;Manual  ;Maipú,  Región Metropolitana; 01 ago 2023 a las 16:24;https://www.yapo.cl/vehiculos/fiat-linea-2016_87741844;04-10-2023 4:21;Hatchback;FIAT;LINEA;Maipú; Región Metropolitana;ITALIA
Fiat UNO CARGO 1.2;Fiat uno cargo 1.2 muy buen auto perfectas condiciones sin detalles sólo estéticos, motor impecable (se puede ver en quillota, los vilos y viña);2500000.0;2010;171633.0;Manual  ;Quillota,  V Valparaíso; 01 ago 2023 a las 15:56;https://www.yapo.cl/vehiculos/fiat-uno-cargo-12_87743506;04-10-2023 4:21;Hatchback;FIAT;UNO CARGO 1.2;Quillota; V Valparaíso;ITALIA
Fiat Strada;"Venta camioneta con detalles parachoque trasero y pintura propios del desgaste.
Impecable funcionamiento";8500000.0;2016;60500.0;Manual  ;Puerto Varas,  X Los Lagos; 01 ago 2023 a las 15:18;https://www.yapo.cl/vehiculos/fiat-strada_87802783;04-10-2023 4:21;Hatchback;FIAT;STRADA;Puerto Varas; X Los Lagos;ITALIA
Fiat Fiorino 1.3 Diesel city;"Fiat Fiorino 1.3 Diesel city
Toda su documentación al día 
Permiso de circulación y revisión técnica 

Solo 2 dueños

El furgón se encuentra en muy buenas condiciones recién se le hizo:
- cambio kit de cadena de distribución.
- cambio kit de embrague.
- cambio de cazoletas y amortiguadores delanteros.
- cambio de aceite 5/30 DPF

Carlos Vargas";5490000.0;2014;132000.0;Manual  ;Viña del Mar,  V Valparaíso; 01 ago 2023 a las 12:29;https://www.yapo.cl/vehiculos/fiat-fiorino-13-diesel-city_87800775;04-10-2023 4:21;Hatchback;FIAT;FIORINO CITY;Viña del Mar; V Valparaíso;ITALIA
Fiat Strada  2017;Excelente estado , poco kilometraje, muy bien cuidada, todo funcionando, a toda prueba;8500000.0;2017;78000.0;Manual  ;Chillán,  XVI Ñuble; 31 jul 2023 a las 14:25;https://www.yapo.cl/vehiculos/fiat-strada-2017_87792294;04-10-2023 4:21;Hatchback;FIAT;STRADA;Chillán; XVI Ñuble;ITALIA
Fiat Uno way 2017;Fiat uno way 2017, con aire acondicionado, motor 1.4, todos sus documentos al día, sin partes ni multas, mecánica y estéticamente impecable, agendar visita en la comuna de San Bernardo.;6050000.0;2017;42522.0;Manual  ;San Bernardo,  Región Metropolitana; 31 jul 2023 a las 08:17;https://www.yapo.cl/vehiculos/fiat-uno-way-2017_87788587;04-10-2023 4:21;Hatchback;FIAT;UNO WAY;San Bernardo; Región Metropolitana;ITALIA
Fiat Fiorino año 2015;Fiar fiorino año 2015 como nueva km 130.000 transferible valor 4.300.000 conversable fono 996988581 Exequiel Leiva;4300000.0;2015;130000.0;Manual  ;Molina,  VII Maule; 30 jul 2023 a las 18:08;https://www.yapo.cl/vehiculos/fiat-fiorino-ano-2015_87238344;04-10-2023 4:21;Hatchback;FIAT;FIORINO;Molina; VII Maule;ITALIA
Fiat City 2014;"Vendo Fiat City 1,3 turbo diésel, en excelente condiciones, cambio de aceite y kit de distribución recién cambiados 

Valor es conversable";4700000.0;2014;212000.0;Manual  ;Hualpén,  VIII Biobío; 29 jul 2023 a las 20:58;https://www.yapo.cl/vehiculos/fiat-city-2014_87780692;04-10-2023 4:21;Hatchback;FIAT;CITY;Hualpén; VIII Biobío;ITALIA
Vehículo Fiat UNO WAY 1.4;"vendo por renovación.
Fiat UNO WAY 1.4
Transmisión mecánica, papeles al día, segundo dueño, transferible
para más información llamar";5800000.0;2017;72000.0;Manual  ;Buin,  Región Metropolitana; 29 jul 2023 a las 17:13;https://www.yapo.cl/vehiculos/vehiculo-fiat-uno-way-14_87779467;04-10-2023 4:21;Hatchback;FIAT;UNO WAY;Buin; Región Metropolitana;ITALIA
Fiat fiorino 2010;Fiorino con motor recién ajustado, quedó nuevo.     Neumáticos en buen estado, Nunca chocada. A toda prueba.;3950000.0;2010;175000.0;Manual  ;Las Condes,  Región Metropolitana; 29 jul 2023 a las 11:48;https://www.yapo.cl/vehiculos/fiat-fiorino-2010_87688535;04-10-2023 4:21;Hatchback;FIAT;FIORINO;Las Condes; Región Metropolitana;ITALIA
Fiat Strada 2017;Camioneta Fiat Strada Treking, año 2017, cierre centralizado, alarma, aire acondicionado, neumáticos nuevos, documentación al día.;7500000.0;2017;99600.0;Manual  ;Cauquenes,  VII Maule; 29 jul 2023 a las 08:54;https://www.yapo.cl/vehiculos/fiat-strada-2017_87776156;04-10-2023 4:21;Hatchback;FIAT;STRADA;Cauquenes; VII Maule;ITALIA
Fiat grand punto 2013;"Vendo por renovación Fiat grande punto.
Año 2013 ,caja y motor.en inmejorable estado, se puede ver y probar sin compromiso ( si gusta se puede escanear para verificar) .
Detalles mínimos por el año , vehículo a toda prueba, económico,rápido , dos modos de conducción .
Precio conversable ";4000000.0;2013;198000.0;Manual  ;Villa Alemana,  V Valparaíso; 29 jul 2023 a las 01:45;https://www.yapo.cl/vehiculos/fiat-grand-punto-2013_87775559;04-10-2023 4:21;Hatchback;FIAT;GRAND PUNTO;Villa Alemana; V Valparaíso;ITALIA
Fiat bravo 1.4 turbo 2015;"Vendo Fiat bravo 1.4 turbo año 2015
Caja 6ta
4 airbags
Llantas 18 y butacas deportivas de fábrica 
Velocidad crucero
Climatizador bi-zona
Polarizado certificado 
Hill holder (asistente de arranque en pendiente)
Documentación al día sin multas
Transferencia inmediata 
PRECIO CONVERSABLE";6500000.0;2015;164000.0;Manual  ;Calera,  V Valparaíso; 27 jul 2023 a las 17:42;https://www.yapo.cl/vehiculos/fiat-bravo-14-turbo-2015_87764636;04-10-2023 4:21;Hatchback;FIAT;BRAVO;Calera; V Valparaíso;ITALIA
Fiat Qubo excelente estado mecánico a toda prueba;Vendo FIAT QUBO 2020 65 milkm mantenciones al día mecánica a toda prueba.. control al volante 2Airbag sistema ISOFIX ABS control estabilidad muy bien cuidado;9550000.0;2020;65000.0;Manual  ;Huechuraba,  Región Metropolitana; 27 jul 2023 a las 11:03;https://www.yapo.cl/vehiculos/fiat-qubo-excelente-estado-mecanico-a-toda-prueba_87739214;04-10-2023 4:21;Hatchback;FIAT;QUBO;Huechuraba; Región Metropolitana;ITALIA
Fiat grande punto;Fiat nuevo grande punto 1,4 2014 ,con aire acondicionado espejos eléctricos,vidrio delantero eléctricos,nuematicos con 90 % de vida útil, cambió de aceite recién hecho,luces LED,,buen estado sin partes ni deudas de ningún tipo conversable;5200000.0;2014;130000.0;Manual  ;Cabildo,  V Valparaíso; 26 jul 2023 a las 22:05;https://www.yapo.cl/vehiculos/fiat-grande-punto_87756807;04-10-2023 4:21;Hatchback;FIAT;GRANDE PUNTO;Cabildo; V Valparaíso;ITALIA
Fiat palio 2014;"Vehículo en buen estado. Aire acondicionado alarma cierre centralizado, alza vidrios.

Llegar y andar";4050000.0;2014;140000.0;Manual  ;Casablanca,  V Valparaíso; 26 jul 2023 a las 20:23;https://www.yapo.cl/vehiculos/fiat-palio-2014_87756049;04-10-2023 4:21;Hatchback;FIAT;PALIO;Casablanca; V Valparaíso;ITALIA
Camioneta 3 puertas Fiat Strada Trekking 1.4, 2017;Camioneta, 3 puertas, radio bluetooth android,;7200000.0;2017;154000.0;Manual  ;Coquimbo,  IV Coquimbo; 26 jul 2023 a las 17:51;https://www.yapo.cl/vehiculos/camioneta-3-puertas-fiat-strada-trekking-14-2017_87754754;04-10-2023 4:21;Hatchback;FIAT;STRADA TREKKING;Coquimbo; IV Coquimbo;ITALIA
Fiat Fiorino;"Fiorino impecable estado , solo uso particular en carretera , documentación al día 
. Único dueño";4200000.0;2017;180000.0;Manual  ;Arauco,  VIII Biobío; 26 jul 2023 a las 16:08;https://www.yapo.cl/vehiculos/fiat-fiorino_87687208;04-10-2023 4:21;Hatchback;FIAT;FIORINO;Arauco; VIII Biobío;ITALIA
Fiat punto 2011 diesel ac;Lindo modelo GRANDE PUNTO, muy bien cuidado. En perfectas condiciones, Diesel, Super Económico. Muy bien equipado alza vidrios y espejos eléctricos, apertura de maleta interior, aire acondicionado, menú controles al volante de: radio, consumo combustible, velocidad, detalles de viaje, reloj y otros. Amplio maletero y con capacidad de ampliar abatiendo asientos traseros.;5300000.0;2011;210350.0;Manual  ;Ñuñoa,  Región Metropolitana; 26 jul 2023 a las 15:16;https://www.yapo.cl/vehiculos/fiat-punto-2011-diesel-ac_87753229;04-10-2023 4:21;Hatchback;FIAT;PUNTO;Ñuñoa; Región Metropolitana;ITALIA
Fiat punto 2017;"Marca: Fiat 
Modelo: Punto 
Motor: 1.4
Año: 2017 
Full equipo
Doble airbag 
Frenos abs 
Aire acondicionado 
Alzavidrios 
Cierre centralizado 
Espejos eléctricos 
Las dos llaves 
Excelente estado 
Recibimos tu auto en parte de pago 
Excelentes opciones de financiamiento";6980000.0;2017;146635.0;Manual  ;Cerrillos,  Región Metropolitana; 26 jul 2023 a las 12:50;https://www.yapo.cl/vehiculos/fiat-punto-2017_87751525;04-10-2023 4:21;Hatchback;FIAT;PUNTO;Cerrillos; Región Metropolitana;ITALIA
Fiat fiorino 2017;127.000 km, 1 dueño -buen estado, accesorios originales, mantenciones al dia..;5600000.0;2017;127000.0;Manual  ;Santiago,  Región Metropolitana; 25 jul 2023 a las 21:38;https://www.yapo.cl/vehiculos/fiat-fiorino-2017_87747571;04-10-2023 4:21;Hatchback;FIAT;FIORINO;Santiago; Región Metropolitana;ITALIA
Fiat Argo Trekking 2020;"Fiat Argo Trekking año 2020
Único dueño.
Última Mantención a los 30.000 km en concesionario Fiat (con timbre)
Sin detalles, con 30.500 km y contando.

Especificaciones:
Dos llaves originales.
Cierre centralizado.
Aire acondicionado.
Alza vidrios eléctricos.
Pantalla touch con apple car y android car.
Cámara y sensores de retroceso.
Airbag.
Asientos regulables.
2 Conexiones USB.
Llantas originales.
Full equipo.

Precio: $9.300.000.
Se puede ver en Quilpué.

Se puede recibir un vehículo como un Suzuki Swift o Chevrolet onix, u otro como parte del valor total";9300000.0;2020;30500.0;Manual  ;Quilpué,  V Valparaíso; 25 jul 2023 a las 21:29;https://www.yapo.cl/vehiculos/fiat-argo-trekking-2020_87747484;04-10-2023 4:21;Hatchback;FIAT;ARGO TREKKING;Quilpué; V Valparaíso;ITALIA
Fiat Fiorino 2011 papeles al dia;Vendo por no uso. +5;2600000.0;2011;151395.0;Manual  ;Puerto Montt,  X Los Lagos; 25 jul 2023 a las 19:20;https://www.yapo.cl/vehiculos/fiat-fiorino-2011-papeles-al-dia_87746526;04-10-2023 4:21;Hatchback;FIAT;FIORINO;Puerto Montt; X Los Lagos;ITALIA
Fiat Uno Way 2017 ;"Matencion al día
Neumaticos Nuevos
No tiene aire acondicionado/si calefacción 
2do dueño 
Papeles al día";4700000.0;2017;105000.0;Manual  ;Estación Central,  Región Metropolitana; 25 jul 2023 a las 16:09;https://www.yapo.cl/vehiculos/fiat-uno-way-2017_87744914;04-10-2023 4:21;Hatchback;FIAT;UNO WAY;Estación Central; Región Metropolitana;ITALIA
Fiat grande punto 1.4;"Al día de uso diario se vende por renovación conversable

A/c
Abs
Dirección electro asistida
Economico";4900000.0;2012;142000.0;Manual  ;Viña del Mar,  V Valparaíso; 25 jul 2023 a las 14:32;https://www.yapo.cl/vehiculos/fiat-grande-punto-14_87743933;04-10-2023 4:21;Hatchback;FIAT;GRANDE PUNTO;Viña del Mar; V Valparaíso;ITALIA
Fiat grande punto;"Vendo sin apuro auto full con star/stop
Mecánicamente impecable solo detalles estéticos q se aprecian en las fotos. Conversable 2 semanas hasta q ingrese a pintura
Auto económico, cómodo y rápido se puede ver en puerto montt";4000000.0;2012;164000.0;Manual  ;Puerto Montt,  X Los Lagos; 25 jul 2023 a las 07:45;https://www.yapo.cl/vehiculos/fiat-grande-punto_87740182;04-10-2023 4:21;Hatchback;FIAT;GRANDE PUNTO;Puerto Montt; X Los Lagos;ITALIA
Fiat fiorino city turbo diesel 1.3 2013;"Se vende por renovación. 
Uso doméstico. 
Documentación al día 
Aire acondicionado
alza vidrios eléctricos 
Buen estado
Llamar al fono";5600000.0;2013;125000.0;Manual  ;Calera,  V Valparaíso; 24 jul 2023 a las 22:24;https://www.yapo.cl/vehiculos/fiat-fiorino-city-turbo-diesel-13-2013_87738417;04-10-2023 4:21;Hatchback;FIAT;FIORINO CITY;Calera; V Valparaíso;ITALIA
 fiat estrada trekking ;Vendo fiat estrada trekkin exente estado a toda prueba.tranferencia inmediata.con a/c .cierre centralizado.documentacion al día muy economica. Se vende solo por renovación.precio combresable ;7600000.0;2018;168000.0;Manual  ;Pitrufquén,  IX Araucanía; 24 jul 2023 a las 21:45;https://www.yapo.cl/vehiculos/fiat-estrada-trekking_87738084;04-10-2023 4:21;Hatchback;FIAT;ESTRADA TREKKING;Pitrufquén; IX Araucanía;ITALIA
Fiat fiorino city 1.3 2014;"Cambio de filtro petroleo hecho hace menos de un mes, lo mismo para el filtro de aire y aceite.
Bateria nueva
Neumaticos casi nuevos.
Al dia.
Se vende por apuro.";3300000.0;2014;175000.0;Manual  ;Quilicura,  Región Metropolitana; 24 jul 2023 a las 20:40;https://www.yapo.cl/vehiculos/fiat-fiorino-city-13-2014_87737565;04-10-2023 4:21;Hatchback;FIAT;FIORINO CITY;Quilicura; Región Metropolitana;ITALIA
Fiat Doblo 2010;económica, practica, se le incorporo una parrilla para mejorar su funcionalidad. Tiene un par de detalles por lo que se puede hacer un descuento.;3500000.0;2010;360000.0;Manual  ;San José de Maipo,  Región Metropolitana; 24 jul 2023 a las 19:48;https://www.yapo.cl/vehiculos/fiat-doblo-2010_87675893;04-10-2023 4:21;Hatchback;FIAT;DOBLO;San José de Maipo; Región Metropolitana;ITALIA
 Fiat fiorino city 2013;Fiorino city turbo diésel 1.3 cc funcionando impecable, batería nueva . Levemente conversable;4450000.0;2013;127550.0;Manual  ;Recoleta,  Región Metropolitana; 24 jul 2023 a las 19:15;https://www.yapo.cl/vehiculos/fiat-fiorino-city-2013_87736901;04-10-2023 4:21;Hatchback;FIAT;FIORINO CITY;Recoleta; Región Metropolitana;ITALIA
Fiat cronos drive 1.3;Fiat cronos drive 1.3 año 2019 único dueño full equipo permiso circulación y revisión técnica al día comando al volante radio Bluetooth cierre centralizado alza vidrios y espejos eléctricos maletero 550 cc doble airbag 72000 kl sin multas y transferible precio 6800000 acepto ofertas;6800000.0;2019;79200.0;Manual  ;Puente Alto,  Región Metropolitana; 24 jul 2023 a las 19:03;https://www.yapo.cl/vehiculos/fiat-cronos-drive-13_87736781;04-10-2023 4:21;Hatchback;FIAT;CRONOS DRIVE;Puente Alto; Región Metropolitana;ITALIA
Fiat cronos 2019;Vendo Fiat cronos drive 1.3 AÑO 2019. Único dueño, papeles al día full equipo doble airbag, control al volante , radio Bluetooth manos libres, alza vidrios y espejos eléctricos,maletero 550 cc con sus dos llaves originales 79.000 kilómetros, papeles al día, nunca chocado , sin deuda , usa gasolina , aire acondicionado.... 7.100.000$ conversable;6800000.0;2019;79200.0;Manual  ;Puente Alto,  Región Metropolitana; 24 jul 2023 a las 16:55;https://www.yapo.cl/vehiculos/fiat-cronos-2019_87735473;04-10-2023 4:21;Hatchback;FIAT;CRONOS;Puente Alto; Región Metropolitana;ITALIA
Fiat Cronos Drive MT 1.3 2021;"Fiat Cronos 1.3 drive mt
Economico 12 kms por litro
Aire Acondicionado
Pantalla tactil 7 pulgadas
Cierre centralizado
Alarma
Lamina de seguridad de 8 micras en sus ventanas

Solo tiene unos pequeños rayones en parachoque delantero y trasero, no son abolladuras";9500000.0;2021;48500.0;Manual  ;Peñalolén,  Región Metropolitana; 24 jul 2023 a las 15:44;https://www.yapo.cl/vehiculos/fiat-cronos-drive-mt-13-2021_87734498;04-10-2023 4:21;Hatchback;FIAT;CRONOS DRIVE;Peñalolén; Región Metropolitana;ITALIA
Fiat fiorino 2015;"en buen estado no se uso para cargas pesadas.
precio conversable.";4500000.0;2015;170000.0;Manual  ;La Florida,  Región Metropolitana; 24 jul 2023 a las 14:40;https://www.yapo.cl/vehiculos/fiat-fiorino-2015_87668635;04-10-2023 4:21;Hatchback;FIAT;FIORINO;La Florida; Región Metropolitana;ITALIA
